account_id,customer_id,account_type,open_date
1,319,Savings,2023-08-17
2,3718,Savings,2024-01-30
3,5492,Savings,2025-05-27
4,1375,Current,2023-02-26
5,5443,Current,2024-03-17
6,8680,Savings,2024-05-06
7,451,Current,2025-09-12
8,8545,Savings,2025-11-27
9,7181,Current,2025-12-05
10,1941,Current,2025-04-18
11,2368,Savings,2024-11-26
12,7888,Savings,2025-01-17
13,248,Savings,2025-06-14
14,3504,Credit,2025-05-24
15,8760,Current,2024-01-01
16,8876,Savings,2023-11-05
17,8836,Savings,2024-06-29
18,479,Credit,2025-05-18
19,2761,Current,2024-09-20
20,7969,Savings,2025-06-22
21,5941,Savings,2023-03-02
22,4453,Current,2025-01-16
23,1369,Savings,2023-12-02
24,2227,Savings,2023-07-22
25,3613,Credit,2024-02-06
26,5563,Credit,2023-02-13
27,1060,Credit,2025-05-02
28,1645,Savings,2023-02-24
29,5266,Savings,2024-11-21
30,1812,Savings,2023-09-04
31,2194,Credit,2023-10-22
32,168,Current,2023-03-31
33,7443,Credit,2023-04-13
34,4183,Credit,2024-08-23
35,8346,Current,2024-03-25
36,2545,Savings,2023-01-29
37,3869,Savings,2024-03-15
38,8507,Savings,2023-12-11
39,5951,Savings,2024-12-06
40,8915,Savings,2023-01-09
41,2310,Current,2023-08-16
42,6631,Savings,2024-04-06
43,6687,Current,2024-12-30
44,2024,Credit,2023-01-21
45,350,Savings,2025-06-24
46,9016,Savings,2024-11-18
47,8630,Savings,2023-07-06
48,8361,Savings,2024-03-19
49,7954,Current,2024-11-10
50,3302,Current,2025-08-02
51,4119,Current,2024-08-06
52,6820,Savings,2023-12-16
53,2770,Savings,2025-09-27
54,4500,Current,2025-05-16
55,2181,Savings,2023-09-15
56,3346,Savings,2023-11-12
57,2666,Credit,2025-01-20
58,8424,Savings,2024-09-09
59,9251,Credit,2023-08-23
60,2543,Savings,2023-08-06
61,9326,Savings,2024-09-19
62,5441,Current,2025-12-13
63,8149,Credit,2023-09-02
64,7111,Credit,2023-09-19
65,3881,Savings,2024-09-07
66,2738,Credit,2023-05-22
67,2432,Savings,2025-07-15
68,1388,Savings,2024-11-14
69,9630,Savings,2024-05-26
70,3366,Savings,2025-03-23
71,9922,Current,2023-10-11
72,2440,Savings,2025-02-28
73,1317,Credit,2023-04-23
74,5205,Current,2024-11-19
75,5005,Credit,2025-10-30
76,685,Current,2025-07-03
77,6441,Current,2023-07-28
78,3088,Savings,2023-01-05
79,9868,Current,2025-03-02
80,2114,Credit,2023-06-28
81,958,Current,2023-06-02
82,5779,Savings,2024-05-16
83,8080,Savings,2023-09-13
84,6029,Credit,2023-11-30
85,5701,Savings,2025-05-11
86,3095,Credit,2024-09-16
87,2808,Savings,2023-12-16
88,7583,Savings,2023-12-09
89,9013,Current,2024-06-05
90,888,Savings,2024-01-09
91,6016,Savings,2023-12-18
92,5425,Savings,2023-06-14
93,3994,Current,2023-07-18
94,3085,Savings,2024-06-16
95,876,Savings,2025-11-16
96,5270,Credit,2023-09-07
97,7509,Savings,2023-04-24
98,3997,Savings,2024-11-12
99,557,Current,2024-12-30
100,5294,Current,2024-12-24
101,8901,Savings,2025-02-02
102,718,Credit,2025-09-02
103,3666,Current,2024-11-06
104,6548,Savings,2023-04-08
105,5197,Current,2025-06-27
106,2020,Savings,2023-06-30
107,8483,Savings,2023-04-07
108,2184,Credit,2024-08-20
109,3880,Savings,2025-02-15
110,2937,Credit,2023-03-05
111,6692,Savings,2025-11-07
112,7046,Savings,2025-08-02
113,2814,Savings,2025-09-11
114,1238,Savings,2023-09-08
115,4842,Current,2025-09-04
116,3044,Current,2025-05-03
117,6473,Current,2024-03-13
118,3088,Current,2025-07-11
119,3559,Current,2025-10-29
120,5294,Credit,2025-02-24
121,8891,Savings,2025-08-26
122,2854,Credit,2024-01-09
123,1846,Savings,2024-01-28
124,6363,Current,2024-01-04
125,6657,Credit,2025-10-10
126,7567,Savings,2023-08-05
127,3183,Current,2023-09-14
128,464,Credit,2024-05-01
129,3861,Savings,2024-11-01
130,5761,Credit,2025-02-13
131,7261,Savings,2025-07-04
132,451,Current,2023-08-07
133,1916,Credit,2025-05-08
