customer_id,customer_name,segment,country,signup_date
1,Customer_1,Retail,Germany,2024-07-21
2,Customer_2,Corporate,USA,2023-11-13
3,Customer_3,SME,UAE,2024-03-13
4,Customer_4,Retail,UK,2023-07-16
5,Customer_5,Retail,UK,2023-06-03
6,Customer_6,Retail,UK,2023-09-30
7,Customer_7,Retail,India,2023-09-26
8,Customer_8,SME,India,2024-04-07
9,Customer_9,Retail,UK,2025-02-11
10,Customer_10,SME,Germany,2024-07-31
11,Customer_11,Retail,Germany,2024-02-10
12,Customer_12,Corporate,India,2025-12-21
13,Customer_13,SME,UK,2023-08-23
14,Customer_14,Retail,Germany,2024-08-21
15,Customer_15,Retail,India,2025-01-29
16,Customer_16,Retail,UK,2025-10-28
17,Customer_17,Retail,USA,2023-01-14
18,Customer_18,Retail,UK,2023-09-17
19,Customer_19,Retail,UK,2023-09-12
20,Customer_20,Retail,UAE,2025-02-18
21,Customer_21,Retail,UAE,2025-12-06
22,Customer_22,Retail,USA,2023-06-18
23,Customer_23,Retail,USA,2023-09-18
24,Customer_24,Retail,UK,2024-07-04
25,Customer_25,Retail,Germany,2024-06-16
26,Customer_26,SME,USA,2023-11-14
27,Customer_27,Retail,UK,2023-09-22
28,Customer_28,Retail,India,2025-05-04
29,Customer_29,Retail,UAE,2025-02-17
30,Customer_30,Retail,Germany,2023-11-25
31,Customer_31,Retail,UK,2024-07-21
32,Customer_32,Retail,India,2025-07-16
33,Customer_33,Retail,UAE,2023-07-04
34,Customer_34,Corporate,India,2025-04-22
35,Customer_35,Corporate,UK,2024-11-19
36,Customer_36,SME,USA,2024-03-29
37,Customer_37,Retail,UAE,2025-09-13
38,Customer_38,Retail,India,2023-09-11
39,Customer_39,Retail,USA,2023-04-12
40,Customer_40,Retail,Germany,2024-09-15
41,Customer_41,Retail,UK,2023-09-06
42,Customer_42,Retail,UK,2025-03-27
43,Customer_43,Retail,UAE,2024-09-19
44,Customer_44,Corporate,India,2023-12-09
45,Customer_45,Retail,Germany,2024-11-10
46,Customer_46,Retail,UAE,2023-06-22
47,Customer_47,Retail,UAE,2024-01-06
48,Customer_48,Retail,India,2023-11-12
49,Customer_49,Retail,Germany,2023-08-26
50,Customer_50,Retail,India,2024-12-07
51,Customer_51,Corporate,UK,2025-07-04
52,Customer_52,SME,USA,2023-08-25
53,Customer_53,Corporate,UK,2024-09-24
54,Customer_54,SME,UK,2025-04-07
55,Customer_55,Retail,UAE,2024-09-17
56,Customer_56,Corporate,UK,2025-12-09
57,Customer_57,Retail,Germany,2025-12-21
58,Customer_58,Retail,UK,2024-10-07
59,Customer_59,Retail,Germany,2025-12-23
60,Customer_60,Retail,India,2024-01-28
61,Customer_61,Retail,UAE,2023-06-06
62,Customer_62,Retail,Germany,2025-01-23
63,Customer_63,SME,UK,2025-06-12
64,Customer_64,Retail,UAE,2023-02-20
65,Customer_65,Retail,UAE,2023-12-21
66,Customer_66,Retail,Germany,2024-08-20
67,Customer_67,Retail,Germany,2023-02-08
68,Customer_68,SME,USA,2025-06-06
69,Customer_69,Retail,USA,2023-06-23
70,Customer_70,Corporate,UAE,2024-11-12
71,Customer_71,SME,USA,2023-01-10
72,Customer_72,Retail,UK,2024-10-20
73,Customer_73,Retail,India,2023-08-24
74,Customer_74,SME,UAE,2024-08-16
75,Customer_75,SME,India,2025-07-10
76,Customer_76,SME,USA,2023-04-28
77,Customer_77,SME,Germany,2025-02-11
78,Customer_78,Retail,UAE,2025-10-21
79,Customer_79,Retail,USA,2023-09-25
80,Customer_80,Retail,UK,2024-10-22
81,Customer_81,SME,UAE,2025-06-24
82,Customer_82,Retail,UAE,2023-06-23
83,Customer_83,Retail,Germany,2025-02-11
84,Customer_84,Retail,UAE,2023-01-03
85,Customer_85,Retail,Germany,2025-02-18
86,Customer_86,Retail,USA,2025-12-01
87,Customer_87,SME,UK,2023-12-09
88,Customer_88,Retail,UK,2024-07-31
89,Customer_89,SME,UAE,2024-02-04
90,Customer_90,Retail,UAE,2024-07-14
91,Customer_91,Retail,USA,2023-11-13
92,Customer_92,SME,Germany,2025-12-01
93,Customer_93,SME,UK,2023-09-17
94,Customer_94,Retail,Germany,2024-12-25
95,Customer_95,SME,USA,2024-09-06
96,Customer_96,Retail,UK,2025-09-25
97,Customer_97,Retail,UK,2023-11-21
98,Customer_98,Retail,India,2023-11-29
99,Customer_99,Retail,USA,2024-11-30
100,Customer_100,Retail,USA,2025-03-26
101,Customer_101,Retail,India,2023-04-02
102,Customer_102,Retail,Germany,2025-05-25
103,Customer_103,Retail,India,2025-02-23
104,Customer_104,Retail,USA,2023-11-18
105,Customer_105,Corporate,Germany,2024-02-05
106,Customer_106,Retail,UK,2024-03-19
107,Customer_107,Retail,India,2024-07-09
108,Customer_108,SME,Germany,2023-01-01
109,Customer_109,Retail,Germany,2024-04-10
110,Customer_110,Retail,Germany,2025-06-03
111,Customer_111,Retail,India,2023-10-28
112,Customer_112,Retail,UK,2025-08-27
113,Customer_113,Corporate,Germany,2025-11-22
114,Customer_114,SME,India,2024-11-15
115,Customer_115,Retail,USA,2025-07-20
116,Customer_116,SME,India,2025-08-09
117,Customer_117,SME,India,2025-09-06
118,Customer_118,Retail,India,2023-12-10
119,Customer_119,SME,Germany,2023-03-17
120,Customer_120,Retail,India,2025-10-15
121,Customer_121,SME,USA,2024-01-15
122,Customer_122,SME,Germany,2023-11-27
123,Customer_123,Retail,USA,2023-07-13
124,Customer_124,Retail,UAE,2025-01-01
125,Customer_125,Retail,India,2023-07-04
126,Customer_126,Retail,Germany,2025-07-09
127,Customer_127,SME,Germany,2023-05-07
128,Customer_128,SME,India,2023-09-16
129,Customer_129,Retail,UK,2024-07-13
130,Customer_130,Retail,UK,2025-03-10
131,Customer_131,Retail,USA,2024-12-12
132,Customer_132,Retail,India,2023-10-26
133,Customer_133,Retail,India,2025-12-24
134,Customer_134,Retail,UAE,2025-10-09
135,Customer_135,Corporate,UK,2024-05-06
136,Customer_136,Retail,UK,2025-11-22
137,Customer_137,Retail,India,2023-10-08
138,Customer_138,SME,USA,2024-11-26
139,Customer_139,Retail,India,2023-02-18
140,Customer_140,Corporate,USA,2024-06-09
141,Customer_141,Corporate,UK,2023-07-05
142,Customer_142,Retail,UAE,2024-12-24
143,Customer_143,Retail,Germany,2023-05-22
144,Customer_144,Retail,UK,2024-10-14
145,Customer_145,Retail,USA,2023-07-26
146,Customer_146,Retail,India,2024-07-22
